q,start,end,ndays,x20,x60,x120,x250
0.05,20160118,20170207,53,-0.04616848416834878,-0.027312359486608248,-0.015041617458772423,-0.002830814254995026
0.05,20170509,20170630,7,0.06677947006325498,0.09656756896855558,0.1691322919949232,0.11541463844752571
0.05,20171207,20180223,10,0.0344941919397131,0.01679461718445209,-0.08300335580118434,-0.2725258700223742
0.05,20180604,20190130,82,-0.12990303322929025,-0.13355000926758043,-0.21114199216394292,-0.1035109313909031
0.05,20230724,20240117,14,-0.04474023314784031,-0.11914122641259793,-0.19067752510542524,-0.2000203394406051
0.05,20240621,20240923,46,0.006294749362311179,-0.10220508838908292,0.10665648232838265,0.0913888413661595
0.1,20160112,20170703,110,-0.03399680965956924,0.023758603489418287,0.010060119958849027,0.00908788932533107
0.1,20171020,20190201,147,0.04952865030615656,0.06911000275226277,-0.05737207736242856,-0.2516356738081233
0.1,20220930,20230118,9,0.009941587631982007,0.030620244487221573,0.07559791540717464,-0.1043338442261073
0.1,20230719,20240201,36,-0.002730876537496642,-0.09613655092302241,-0.16906018163955705,-0.15377376194018705
0.1,20240529,20240923,65,-0.04157474985636483,-0.08856877016407204,0.041296274342693444,0.028905031540472262
0.2,20160112,20190211,411,-0.03399680965956924,0.023758603489418287,0.010060119958849027,0.00908788932533107
0.2,20190617,20190723,5,0.03329318302746704,0.06526840649701272,0.03700016247546411,0.06656853417940074
0.2,20191128,20191128,1,0.04583463909442404,0.05436061197506982,0.010153732806160269,0.23642985388668586
0.2,20220919,20230308,28,-0.08231708116577212,-0.04064885283064244,-0.010173727392101435,-0.11584088747146186
0.2,20230710,20240923,149,0.02382334869013365,-0.06643814561547144,-0.16212359561505574,-0.1456023778088376
0.3,20160111,20190212,533,-0.060230833474355254,-4.775868825000751e-05,-0.03095963058105656,-0.01865222757323741
0.3,20190610,20191204,37,0.01518923821565028,0.021867603423880402,0.007989313514722644,0.03343938998539715
0.3,20220509,20220509,1,0.07185104534678961,0.023277650247662943,-0.09649264022684445,-0.04473689145593045
0.3,20220902,20240923,247,-0.07632636558249,-0.02601267013666063,-0.02245736709841873,-0.12418123638178329
