2026-04-03 11:33:03 | INFO     | <stdin>:11 | ============================================================
2026-04-03 11:33:03 | INFO     | <stdin>:12 | 开始数据校验
2026-04-03 11:33:03 | INFO     | <stdin>:13 | ============================================================
2026-04-03 11:33:03 | INFO     | data_validator:30 | [数据校验] 开始校验 002648.SZ 数据...
2026-04-03 11:33:03 | WARNING  | data_validator:28 | [数据校验] 成交量异常：20220815 放量 5.7倍 (阈值 5.0倍)
2026-04-03 11:33:03 | WARNING  | data_validator:28 | [数据校验] 成交量异常：20250409 放量 5.5倍 (阈值 5.0倍)
2026-04-03 11:33:03 | WARNING  | data_validator:28 | [数据校验] ⚠️  002648.SZ 数据校验发现问题
2026-04-03 11:33:03 | INFO     | data_validator:30 | [数据校验] 开始校验 002594.SZ 数据...
2026-04-03 11:33:03 | WARNING  | data_validator:28 | [数据校验] 价格突变：20250729 涨跌幅 66.9% (阈值 50.0%)
2026-04-03 11:33:03 | WARNING  | data_validator:28 | [数据校验] ⚠️  002594.SZ 数据校验发现问题
2026-04-03 11:33:03 | INFO     | data_validator:30 | [数据校验] 开始校验 000833.SZ 数据...
2026-04-03 11:33:03 | WARNING  | data_validator:28 | [数据校验] 成交量异常：20210817 放量 7.8倍 (阈值 5.0倍)
2026-04-03 11:33:03 | WARNING  | data_validator:28 | [数据校验] ⚠️  000833.SZ 数据校验发现问题
2026-04-03 11:33:03 | INFO     | data_validator:30 | [数据校验] 开始校验 300442.SZ 数据...
2026-04-03 11:33:03 | WARNING  | data_validator:28 | [数据校验] 成交量异常：20211124 放量 5.7倍 (阈值 5.0倍)
2026-04-03 11:33:03 | WARNING  | data_validator:28 | [数据校验] 成交量异常：20220222 放量 6.2倍 (阈值 5.0倍)
2026-04-03 11:33:03 | WARNING  | data_validator:28 | [数据校验] 成交量异常：20230816 放量 7.5倍 (阈值 5.0倍)
2026-04-03 11:33:03 | WARNING  | data_validator:28 | [数据校验] ⚠️  300442.SZ 数据校验发现问题
2026-04-03 11:33:03 | INFO     | data_validator:30 | [数据校验] 开始校验 516120.SH 数据...
2026-04-03 11:33:03 | WARNING  | data_validator:28 | [数据校验] 成交量异常：20251226 放量 6.7倍 (阈值 5.0倍)
2026-04-03 11:33:03 | WARNING  | data_validator:28 | [数据校验] ⚠️  516120.SH 数据校验发现问题
