snapshot_date,code,name,asset_type,shares,available,cost_price,last_price,market_value,pnl,pnl_pct,entry_date
20260715,002648.SZ,卫星化学,stock,6700,6700,26.242,23.430,156981.00,-18841.30,-10.720,20260605
20260715,002851.SZ,麦格米特,stock,200,200,162.997,168.630,33726.00,1126.67,3.460,20260623
20260715,300750.SZ,宁德时代,stock,100,100,430.005,373.000,37300.00,-5700.55,-13.260,20260610
20260715,515050.SH,通信ETF华夏,etf,14500,14500,1.226,1.199,17385.50,-394.80,-2.220,20260702
20260715,516120.SH,化工ETF富国,etf,132100,132100,0.951,0.842,111228.20,-14428.18,-11.480,
20260715,588010.SH,科创新材料ETF博时,etf,28200,28200,1.386,1.190,33558.00,-5528.60,-14.140,
20260715,600118.SH,中国卫星,stock,400,400,85.883,73.920,29568.00,-4785.36,-13.930,20260520
20260715,600160.SH,巨化股份,stock,1400,1400,38.818,42.200,59080.00,4734.32,8.710,20260310
20260715,688733.SH,壹石通,stock,200,200,40.785,33.400,6680.00,-1477.08,-18.110,20260625
20260715,CASH,现金,cash,,,,,25556.00,,,
