snapshot_date,code,name,asset_type,shares,available,cost_price,last_price,market_value,pnl,pnl_pct,entry_date
20260709,000833.SZ,粤桂股份,stock,2500.0,2500.0,23.322,20.83,52075.0,-6230.0,-10.685,20260410
20260709,002648.SZ,卫星化学,stock,6700.0,6700.0,26.242,22.74,152358.0,-23463.4,-13.345,20260605
20260709,002851.SZ,麦格米特,stock,200.0,200.0,162.997,159.59,31918.0,-681.4,-2.09,20260623
20260709,宜化发债,宜化发债,bond,10.0,0.0,100.0,100.0,1000.0,0.0,0.0,
20260709,300750.SZ,宁德时代,stock,100.0,100.0,430.005,375.5,37550.0,-5450.5,-12.675,20260610
20260709,515050.SH,通信ETF华夏,etf,800.0,800.0,1.25,1.282,1025.6,25.6,2.56,20260702
20260709,516120.SH,化工ETF富国,etf,132100.0,132100.0,0.951,0.875,115587.5,-10039.6,-7.992,
20260709,588010.SH,科创新材料ETF博时,etf,20200.0,20200.0,1.413,1.395,28179.0,-363.6,-1.274,
20260709,600118.SH,中国卫星,stock,400.0,400.0,85.883,81.84,32736.0,-1617.2,-4.708,20260520
20260709,600160.SH,巨化股份,stock,1400.0,1400.0,38.818,46.0,64400.0,10054.8,18.502,20260310
20260709,688733.SH,壹石通,stock,200.0,200.0,40.785,43.15,8630.0,473.0,5.799,20260625
20260709,CASH,现金,cash,,,,,61.0,,,
