snapshot_date,code,name,asset_type,shares,available,cost_price,last_price,market_value
20260807,002648.SZ,卫星化学,stock,6700,6700,26.242,25.780,172726.00
20260807,300604.SZ,长川科技,stock,100,100,316.078,283.210,28321.00
20260807,301165.SZ,锐捷网络,stock,100,100,126.851,118.170,11817.00
20260807,510880.SH,红利ETF华泰柏瑞,etf,15400,15400,3.245,3.282,50542.80
20260807,CASH,现金,cash,,,,,174802.84
