snapshot_date,code,name,asset_type,shares,available,cost_price,last_price,market_value,pnl,pnl_pct,entry_date
20260728,002648.SZ,卫星化学,stock,6700,6700,26.242,24.640,165088.00,-10734.30,-6.110,20260605
20260728,300604.SZ,长川科技,stock,100,100,316.078,276.400,27640.00,-3967.76,-12.550,20260722
20260728,301165.SZ,锐捷网络,stock,100,100,126.851,115.400,11540.00,-1145.13,-9.030,20260727
20260728,SG26CB,曙26发债,bond,10,0,100.000,100.000,1000.00,0.00,0.000,20260720
20260728,510880.SH,红利ETF华泰柏瑞,etf,15400,15400,3.245,3.232,49772.80,-196.56,-0.390,20260720
20260728,CASH,现金,cash,,,,,233275.84,,,
