rec_date,code,source_type,grade,direction,catalyst,valid_until,source
20260710,603127.SH,intraday,C,long,创新药/CRO：新版国家基药目录首纳创新药遴选+上半年出海接近去年全年73%；昭衍新药10cm,,收盘信息
20260710,603538.SH,intraday,C,long,创新药政策催化，美诺华10cm,,收盘信息
20260710,300255.SZ,intraday,C,long,创新药政策催化，常山药业20cm,,收盘信息
20260710,688202.SH,intraday,C,long,创新药政策催化，美迪西一度19cm,,收盘信息
20260710,600118.SH,intraday,C,long,商业航天：长征十号乙首飞成功验证海上网系回收，中国卫星涨停,,收盘信息
20260710,000547.SZ,intraday,C,long,商业航天涨停潮，航天发展涨停,,收盘信息
20260710,000901.SZ,intraday,C,long,商业航天涨停潮，航天科技涨停,,收盘信息
