snapshot_date,code,name,asset_type,shares,available,cost_price,last_price,market_value,pnl,pnl_pct,entry_date
20260703,000833.SZ,粤桂股份,stock,2500,2500,23.322,23.500,58750.00,445.85,0.760,20260410
20260703,002648.SZ,卫星化学,stock,6700,6700,26.242,24.020,160934.00,-14888.30,-8.470,20260605
20260703,002851.SZ,麦格米特,stock,200,200,162.997,147.620,29524.00,-3075.33,-9.430,20260623
20260703,宜化发债,宜化发债,bond,10,0,100.000,100.000,1000.00,0.00,0.000,
20260703,300750.SZ,宁德时代,stock,100,100,430.005,380.000,38000.00,-5000.55,-11.630,20260610
20260703,515050.SH,通信ETF华夏,etf,800,800,1.250,1.242,993.60,-6.60,-0.660,20260702
20260703,516120.SH,化工ETF富国,etf,132100,132100,0.951,0.943,124570.30,-1086.08,-0.860,
20260703,588010.SH,科创新材料ETF博时,etf,20200,20200,1.413,1.402,28320.40,-225.20,-0.790,
20260703,600118.SH,中国卫星,stock,400,400,85.883,86.300,34520.00,166.64,0.490,20260520
20260703,600160.SH,巨化股份,stock,1400,1400,38.818,49.350,69090.00,14744.32,27.130,20260310
20260703,688733.SH,壹石通,stock,200,200,40.785,38.880,7776.00,-381.08,-4.670,20260625
20260703,CASH,现金,cash,,,,,61.00,,,
