snapshot_date,code,name,asset_type,shares,available,cost_price,last_price,market_value,pnl,pnl_pct,entry_date
20260710,002648.SZ,卫星化学,stock,6700,6700,26.242,22.680,151956.00,-23866.30,-13.570,20260605
20260710,002851.SZ,麦格米特,stock,200,200,162.997,161.790,32358.00,-241.33,-0.740,20260623
20260710,127114,宜化发债,bond,10,10,100.000,100.000,1000.00,0.00,0.000,
20260710,300750.SZ,宁德时代,stock,100,100,430.005,348.760,34876.00,-8124.55,-18.890,20260610
20260710,515050.SH,通信ETF华夏,etf,10400,800,1.225,1.223,12719.20,-17.20,-0.140,20260702
20260710,516120.SH,化工ETF富国,etf,132100,132100,0.951,0.857,113209.70,-12446.68,-9.910,
20260710,588010.SH,科创新材料ETF博时,etf,20200,20200,1.413,1.313,26522.60,-2023.00,-7.090,
20260710,600118.SH,中国卫星,stock,400,400,85.883,90.020,36008.00,1654.64,4.820,20260520
20260710,600160.SH,巨化股份,stock,1400,1400,38.818,43.420,60788.00,6442.32,11.850,20260310
20260710,688733.SH,壹石通,stock,200,200,40.785,41.500,8300.00,142.92,1.750,20260625
20260710,CASH,现金,cash,,,,,39887.00,,,
