rec_date,code,source_type,grade,direction,catalyst,valid_until,source
20260722,601899.SH,intraday,B,long,"模型体检质量分最高(看多前8%·全市场)+黄金板块底部反转;站上MA60待MA60走平上行;等回踩MA20买点",20260731,0721会员直播+模型体检
20260722,000938.SZ,intraday,B,long,"华为超节点算力(服务器/交换机)趋势最强·站上MA60且上行·已突破但离MA20约+25%追高;等回踩MA20买点",20260731,0721会员直播+模型体检
20260722,301165.SZ,intraday,B,long,"华为超节点算力(交换机)趋势强·已突破但离MA20约+20%追高;等回踩MA20买点",20260731,0721会员直播+模型体检
