rec_date,code,source_type,grade,direction,catalyst,valid_until,source
20260623,600141.SH,intraday,B,long,9N高纯四氯化硅(光纤预制棒/石英玻璃);涨价80%,,早盘
20260623,002837.SZ,intraday,B,long,液冷龙头;英伟达Rubin全面液冷秋季量产,,早盘
20260623,000811.SZ,intraday,B,long,液冷(数据中心);Rubin液冷,,早盘
20260623,603757.SH,intraday,B,long,液冷泵;数据中心液冷,,早盘
