snapshot_date,code,name,asset_type,shares,available,cost_price,last_price,market_value,pnl,pnl_pct,entry_date
20260701,000833.SZ,粤桂股份,stock,2500,2500,23.322,24.710,61775.00,3470.85,5.950,20260410
20260701,002648.SZ,卫星化学,stock,6700,6700,26.242,24.910,166897.00,-8925.30,-5.080,20260605
20260701,002851.SZ,麦格米特,stock,200,200,162.997,156.450,31290.00,-1309.33,-4.020,20260623
20260701,宜化发债,宜化发债,bond,10,0,100.000,100.000,1000.00,0.00,0.000,
20260701,300750.SZ,宁德时代,stock,100,100,430.005,383.840,38384.00,-4616.55,-10.740,20260610
20260701,516120.SH,化工ETF富国,etf,132100,132100,0.951,0.966,127608.60,1952.22,1.550,
20260701,588010.SH,科创新材料ETF博时,etf,20200,20200,1.413,1.534,30986.80,2441.20,8.550,
20260701,600118.SH,中国卫星,stock,400,400,85.883,85.650,34260.00,-93.36,-0.270,20260520
20260701,600160.SH,巨化股份,stock,1400,1400,38.818,55.850,78190.00,23844.32,43.880,20260310
20260701,688733.SH,壹石通,stock,200,200,40.785,41.000,8200.00,42.92,0.530,20260625
20260701,CASH,现金,cash,,,,,1061.00,,,
