code,shares,cost_price,entry_date
600160.SH,1400,38.8183,20260310
000510.SZ,600,18.8085,20260310
000833.SZ,2500,23.3217,20260410
600118.SH,400,85.8534,20260520
300750.SZ,100,430.0568,20260610
002648.SZ,6700,26.2421,20260605
002851.SZ,100,170.9317,20260623
688733.SH,200,40.7850,20260625
