rec_date,code,source_type,grade,direction,catalyst,valid_until,source
20260626,002364.SZ,intraday,B,long,"HVDC/直流电源;英伟达800V高压直流电源机架Rubin配套;电力配套核心",,投顾早盘0626
20260626,300870.SZ,intraday,C,long,"服务器电源;800V/HVDC受益",,投顾早盘0626
