trade_date,pr,tr,dy,dy_pct_expanding,dy_realized
20050427,932.015,934.607,,,
20050428,941.697,944.317,,,
20050429,932.53,935.124,,,
20050509,911.563,914.099,,,
20050510,916.113,918.661,,,
20050511,905.316,907.834,,,
20050512,885.865,888.625,,,
20050513,883.512,886.265,,,
20050516,873.692,876.413,,,
20050517,880.577,883.32,,,
20050518,878.797,882.734,,,
20050519,878.11,883.492,,,
20050520,876.412,882.376,,,
20050523,852.183,859.476,,,
20050524,852.246,859.742,,,
20050525,850.875,858.414,,,
20050526,840.499,848.121,,,
20050527,833.564,841.335,,,
20050530,839.137,847.179,,,
20050531,841.306,849.6,,,
20050601,824.388,832.516,,,
20050602,808.13,816.097,,,
20050603,803.473,811.566,,,
20050606,819.897,829.209,,,
20050607,818.315,827.609,,,
20050608,886.625,896.695,,,
20050609,891.894,902.267,,,
20050610,875.379,885.559,,,
20050613,867.301,885.141,,,
20050614,862.259,880.364,,,
20050615,849.043,866.871,,,
20050616,857.331,877.002,,,
20050617,863.759,884.103,,,
20050620,885.11,905.957,,,
20050621,875.99,897.191,,,
20050622,875.622,898.549,,,
20050623,868.773,892.381,,,
20050624,874.573,898.666,,,
20050627,888.223,912.803,,,
20050628,878.104,902.405,,,
20050629,875.304,899.527,,,
20050630,855.456,879.129,,,
20050701,844.23,867.593,,,
20050704,840.773,864.041,,,
20050705,831.069,855.026,,,
20050706,826.753,850.586,,,
20050707,829.512,854.591,,,
20050708,815.583,840.241,,,
20050711,808.766,833.719,,,
20050712,830.477,856.219,,,
20050713,825.705,851.299,,,
20050714,827.39,853.243,,,
20050715,818.397,844.689,,,
20050718,808.579,835.355,,,
20050719,808.629,835.876,,,
20050720,818.134,845.701,,,
20050721,821.678,849.744,,,
20050722,833.382,861.848,,,
20050725,830.651,859.436,,,
20050726,848.277,877.673,,,
