trade_date,close
20050104,981.555
20050105,986.535
20050106,975.526
20050107,980.717
20050110,989.529
20050111,990.284
20050112,989.82
20050113,989.733
20050114,984.756
20050117,961.33
20050118,965.385
20050119,959.25
20050120,949.45
20050121,976.921
20050124,992.222
20050125,994.673
20050126,988.217
20050127,976.555
20050128,969.622
20050131,959.102
20050201,962.419
20050202,1012.532
20050203,1004.114
20050204,1027.263
20050216,1034.993
20050217,1028.542
20050218,1013.775
20050221,1032.686
20050222,1054.207
20050223,1054.109
20050224,1053.407
20050225,1053.837
20050228,1047.244
20050301,1040.558
20050302,1023.222
20050303,1031.409
20050304,1027.517
20050307,1033.627
20050308,1054.096
20050309,1054.37
20050310,1027.817
20050311,1031.731
20050314,1038.416
20050315,1018.743
20050316,1008.532
20050317,996.597
20050318,984.555
20050321,990.67
20050322,976.078
20050323,970.318
20050324,976.583
20050325,975.01
20050328,973.506
20050329,968.578
20050330,952.301
20050331,956.039
20050401,990.51
20050404,972.74
20050405,963.348
20050406,978.03
20050407,985.123
20050408,1002.468
20050411,995.76
20050412,981.095
20050413,1003.32
20050414,995.383
20050415,983.889
20050418,971.471
20050419,973.611
20050420,966.069
20050421,958.314
20050422,956.405
20050425,944.958
20050426,947.895
20050427,932.015
20050428,941.697
20050429,932.53
20050509,911.563
20050510,916.113
20050511,905.316
20050512,885.865
20050513,883.512
20050516,873.692
20050517,880.577
20050518,878.797
20050519,878.11
20050520,876.412
20050523,852.183
20050524,852.246
20050525,850.875
20050526,840.499
20050527,833.564
20050530,839.137
20050531,841.306
20050601,824.388
20050602,808.13
20050603,803.473
20050606,819.897
20050607,818.315
20050608,886.625
20050609,891.894
20050610,875.379
20050613,867.301
20050614,862.259
20050615,849.043
20050616,857.331
20050617,863.759
20050620,885.11
20050621,875.99
20050622,875.622
20050623,868.773
20050624,874.573
20050627,888.223
20050628,878.104
20050629,875.304
20050630,855.456
20050701,844.23
20050704,840.773
20050705,831.069
20050706,826.753
20050707,829.512
20050708,815.583
20050711,808.766
20050712,830.477
20050713,825.705
20050714,827.39
20050715,818.397
20050718,808.579
20050719,808.629
20050720,818.134
20050721,821.678
20050722,833.382
20050725,830.651
20050726,848.277
20050727,866.037
20050728,864.489
20050729,862.553
20050801,865.682
20050802,876.174
20050803,882.115
20050804,879.671
20050805,895.89
20050808,902.916
20050809,909.236
20050810,913.27
20050811,924.4
20050812,915.702
20050815,929.626
20050816,922.601
20050817,929.272
20050818,911.761
20050819,912.627
20050822,917.653
20050823,910.619
20050824,918.976
20050825,916.989
20050826,913.295
20050829,900.069
20050830,897.891
20050831,910.624
20050901,924.785
20050902,926.824
20050905,930.53
20050906,915.421
20050907,929.645
20050908,932.033
20050909,929.698
20050912,928.819
20050913,941.824
20050914,948.071
20050915,951.174
20050916,948.703
20050919,953.983
20050920,946.156
20050921,929.262
20050922,906.983
20050923,903.396
20050926,903.088
20050927,890.25
20050928,886.863
20050929,899.227
20050930,903.055
20051010,890.681
20051011,901.625
20051012,905.317
20051013,899.285
20051014,887.561
20051017,875.455
20051018,879.84
20051019,875.428
20051020,873.699
20051021,877.16
20051024,875.931
20051025,864.124
20051026,845.454
20051027,841.546
20051028,833.957
20051031,842.278
20051101,838.278
20051102,848.897
20051103,840.039
20051104,844.36
20051107,843.225
20051108,846.296
20051109,844.465
20051110,827.903
20051111,826.538
20051114,822.907
20051115,820.349
20051116,831.397
20051117,827.901
20051118,846.313
20051121,849.341
20051122,835.277
20051123,840.817
20051124,845.483
20051125,846.415
20051128,844.82
20051129,835.291
20051130,834.359
20051201,835.493
20051202,835.91
20051205,825.916
20051206,832.284
20051207,839.328
20051208,839.038
20051209,850.356
20051212,851.401
20051213,852.49
20051214,858.274
20051215,858.976
20051216,866.224
20051219,871.468
20051220,873.167
20051221,867.737
20051222,872.328
20051223,879.128
20051226,887.174
20051227,887.308
20051228,891.092
20051229,895.856
20051230,890.492
20060104,900.517
20060105,919.629
20060106,929.277
20060109,931.267
20060110,933.495
20060111,930.277
20060112,938.584
20060113,932.329
20060116,917.838
20060117,920.998
20060118,939.223
20060119,952.041
20060120,956.254
20060123,957.949
20060124,955.07
20060125,961.832
20060206,985.957
20060207,983.484
20060208,985.765
20060209,974.165
20060210,985.283
20060213,985.072
20060214,988.0
20060215,990.598
20060216,966.814
20060217,968.809
20060220,969.785
20060221,987.744
20060222,989.116
20060223,992.063
20060224,1000.755
20060227,996.838
20060228,997.969
20060301,1002.583
20060302,990.101
20060303,997.103
20060306,994.67
20060307,974.41
20060308,965.011
20060309,965.513
20060310,969.334
20060313,979.082
20060314,980.889
20060315,990.672
20060316,986.609
20060317,983.796
20060320,995.259
20060321,993.734
20060322,995.73
20060323,996.35
20060324,992.443
20060327,994.354
20060328,996.755
20060329,1004.989
20060330,998.482
20060331,999.829
20060403,1009.953
20060404,1019.998
20060405,1029.274
20060406,1029.436
20060407,1029.409
20060410,1044.848
20060411,1054.374
20060412,1046.232
20060413,1032.119
20060414,1056.892
20060417,1064.554
20060418,1070.211
20060419,1072.728
20060420,1061.492
20060421,1072.528
20060424,1059.595
20060425,1049.792
20060426,1065.175
20060427,1061.931
20060428,1066.88
20060508,1103.736
20060509,1122.552
20060510,1132.291
20060511,1122.479
20060512,1150.352
20060515,1198.186
20060516,1190.345
20060517,1211.978
20060518,1201.324
20060519,1227.818
20060522,1245.504
20060523,1207.18
20060524,1193.778
20060525,1183.801
20060526,1203.069
20060529,1234.033
20060530,1241.295
20060531,1240.446
20060601,1270.666
20060602,1262.299
20060605,1272.585
20060606,1276.654
20060607,1206.642
20060608,1214.935
20060609,1186.51
20060612,1186.92
20060613,1182.457
20060614,1162.021
20060615,1161.391
20060616,1189.328
20060619,1195.342
20060620,1200.316
20060621,1199.271
20060622,1194.799
20060623,1197.237
20060626,1215.738
20060627,1213.185
20060628,1217.175
20060629,1247.413
20060630,1247.727
20060703,1263.329
20060704,1250.752
20060705,1235.049
20060706,1255.654
20060707,1247.539
20060710,1247.439
20060711,1247.526
20060712,1248.793
20060713,1188.87
20060714,1194.721
20060717,1209.873
20060718,1211.179
20060719,1183.169
20060720,1187.422
20060721,1193.664
20060724,1191.875
20060725,1208.444
20060726,1209.519
20060727,1197.064
20060728,1188.21
20060731,1145.257
20060801,1138.162
20060802,1134.841
20060803,1136.599
20060804,1111.831
20060807,1094.569
20060808,1119.201
20060809,1116.808
20060810,1138.075
20060811,1140.166
20060814,1113.467
20060815,1131.991
20060816,1144.743
20060817,1135.083
20060818,1131.805
20060821,1129.446
20060822,1138.118
20060823,1138.592
20060824,1144.738
20060825,1152.079
20060828,1173.062
20060829,1174.204
20060830,1175.716
20060831,1179.853
20060901,1169.278
20060904,1182.625
20060905,1179.513
20060906,1184.534
20060907,1168.437
20060908,1171.309
20060911,1173.792
20060912,1184.497
20060913,1180.849
20060914,1174.411
20060915,1201.043
20060918,1214.628
20060919,1214.264
20060920,1209.01
20060921,1211.184
20060922,1196.795
20060925,1189.922
20060926,1182.407
20060927,1189.673
20060928,1198.263
20060929,1208.226
20061009,1231.715
20061010,1237.391
20061011,1240.383
20061012,1248.168
20061013,1248.447
20061016,1238.47
20061017,1233.429
20061018,1248.463
20061019,1251.33
20061020,1246.242
20061023,1224.379
20061024,1253.508
20061025,1257.132
20061026,1261.836
20061027,1260.024
20061030,1282.192
20061031,1302.215
20061101,1321.406
20061102,1329.999
20061103,1333.867
20061106,1370.944
20061107,1364.273
20061108,1340.113
20061109,1360.596
20061110,1335.431
20061113,1302.687
20061114,1304.106
20061115,1349.145
20061116,1340.694
20061117,1378.995
20061120,1408.716
20061121,1425.161
20061122,1426.548
20061123,1440.098
20061124,1443.365
20061127,1461.648
20061128,1455.439
20061129,1472.412
20061130,1524.846
20061201,1533.013
20061204,1574.256
20061205,1585.13
20061206,1563.425
20061207,1570.254
20061208,1508.222
20061211,1573.869
20061212,1586.934
20061213,1603.872
20061214,1627.307
20061215,1644.067
20061218,1667.323
20061219,1678.488
20061220,1685.172
20061221,1648.959
20061222,1637.68
20061225,1668.705
20061226,1688.033
20061227,1718.087
20061228,1715.757
20061229,1763.694
20070104,1815.702
20070105,1871.982
20070108,1927.414
20070109,1998.773
20070110,2047.992
20070111,2012.326
20070112,1929.255
20070115,2029.725
20070116,2062.202
20070117,2064.538
20070118,2055.725
20070119,2122.334
