code,grade,first,entry_date,last_date,entry_raw,last_raw,ret_raw,ret_qfq,adj_ratio,affected
000811.SZ,B,20260623,20260624,20260724,48.75,43.25,-0.11282051282051286,-0.11099885781953067,1.0020533105502398,True
002384.SZ,B,20260623,20260624,20260724,257.13,199.18,-0.2253723797300976,-0.2253723797300975,1.0,False
002706.SZ,B,20260623,20260624,20260724,11.94,8.83,-0.26046901172529313,-0.260469011725293,1.0,False
002837.SZ,B,20260623,20260624,20260724,82.86,58.7,-0.29157615254646385,-0.29157615254646385,1.0,False
002843.SZ,B,20260623,20260624,20260724,21.15,16.87,-0.20236406619385328,-0.2023640661938534,1.0,False
002851.SZ,B,20260623,20260624,20260724,170.31,122.27,-0.2820738653044449,-0.28192017329068053,1.00021407775304,False
002897.SZ,B,20260623,20260624,20260724,93.16,59.01,-0.3665736367539717,-0.3665736367539717,1.0,False
300077.SZ,B,20260623,20260624,20260724,25.78,17.27,-0.33010085337470907,-0.33010085337470907,1.0,False
300162.SZ,B,20260623,20260624,20260724,10.65,6.89,-0.3530516431924883,-0.3530516431924884,1.0,False
300373.SZ,B,20260623,20260624,20260724,132.99,90.6,-0.3187457703586737,-0.3187457703586737,1.0,False
300540.SZ,B,20260623,20260624,20260724,26.19,30.2,0.15311187476135912,0.15311187476135935,1.0,False
600141.SH,B,20260623,20260624,20260724,43.16,29.62,-0.31371640407784973,-0.31371640407784984,1.0,False
601179.SH,B,20260623,20260624,20260724,16.26,13.55,-0.16666666666666674,-0.1641208418194161,1.0030549898167007,True
603757.SH,B,20260623,20260624,20260724,73.7,58.86,-0.20135685210312082,-0.20135685210312082,1.0,False
603893.SH,B,20260623,20260624,20260724,185.39,221.8,0.1963967851556181,0.1963967851556181,1.0,False
688055.SH,B,20260623,20260624,20260724,5.5,3.74,-0.31999999999999995,-0.31999999999999995,1.0,False
688106.SH,B,20260623,20260624,20260724,33.43,30.1,-0.09961112772958414,-0.09961112772958425,1.0,False
688268.SH,B,20260623,20260624,20260724,237.53,149.01,-0.3726687155306698,-0.3712224186212304,1.002305475504323,True
688699.SH,B,20260623,20260624,20260724,76.62,49.6,-0.35264943878882804,-0.35264943878882793,1.0,False
000566.SZ,C,20260624,20260625,20260724,4.59,4.82,0.050108932461873756,0.050108932461873756,1.0,False
002821.SZ,C,20260624,20260625,20260724,151.46,158.22,0.04463224613759409,0.05369095489704345,1.0086716725363811,True
300347.SZ,C,20260624,20260625,20260724,43.86,46.95,0.07045143638850893,0.07341104090192352,1.0027648190406468,True
300363.SZ,C,20260624,20260625,20260724,16.35,15.67,-0.041590214067278364,-0.041590214067278364,1.0,False
301257.SZ,C,20260624,20260625,20260724,41.09,43.96,0.06984667802385003,0.07170812545516458,1.0017399198123913,True
301393.SZ,C,20260624,20260625,20260724,56.3,57.85,0.027531083481350027,0.027531083481350027,1.0,False
600460.SH,B,20260624,20260625,20260724,49.86,31.57,-0.36682711592458883,-0.36529673251490413,1.0024170071842535,True
600851.SH,C,20260624,20260625,20260724,9.78,7.45,-0.23824130879345595,-0.23331212088342967,1.0064707996993365,True
603127.SH,C,20260624,20260625,20260724,38.61,45.26,0.17223517223517226,0.17580065596628325,1.0030416112871896,True
603259.SH,C,20260624,20260625,20260724,117.22,125.0,0.06637092646306098,0.06637092646306098,1.0,False
688131.SH,C,20260624,20260625,20260724,91.2,68.15,-0.2527412280701754,-0.25145741615662676,1.001718028562225,True
688202.SH,C,20260624,20260625,20260724,71.49,82.45,0.15330815498671146,0.15330815498671146,1.0,False
688347.SH,B,20260624,20260625,20260724,330.36,329.9,-0.0013924203898778575,-0.0013924203898778575,1.0,False
688356.SH,C,20260624,20260625,20260724,74.15,72.79,-0.018341200269723523,-0.014036098818806297,1.0043855374719812,True
688690.SH,C,20260624,20260625,20260724,45.41,35.21,-0.2246201277251706,-0.2246201277251706,1.0,False
688710.SH,C,20260624,20260625,20260724,65.3,76.9,0.17764165390505382,0.1776416539050536,1.0,False
688981.SH,B,20260624,20260625,20260724,156.86,143.73,-0.08370521484125981,-0.08370521484125981,1.0,False
000066.SZ,C,20260625,20260626,20260724,18.57,14.49,-0.21970920840064623,-0.21970920840064612,1.0,False
000725.SZ,C,20260625,20260626,20260724,7.79,5.79,-0.25673940949935814,-0.25673940949935814,1.0,False
002156.SZ,C,20260625,20260626,20260724,71.6,76.64,0.07039106145251406,0.07039106145251406,1.0,False
002185.SZ,C,20260625,20260626,20260724,22.56,18.59,-0.17597517730496448,-0.17597517730496448,1.0,False
002484.SZ,C,20260625,20260626,20260724,109.0,63.59,-0.41660550458715595,-0.41660550458715584,1.0,False
300223.SZ,C,20260625,20260626,20260724,233.21,143.65,-0.38403155953861323,-0.38403155953861334,1.0,False
600563.SH,B,20260625,20260626,20260724,188.76,126.86,-0.32792964611146425,-0.32792964611146425,1.0,False
600584.SH,B,20260625,20260626,20260724,100.89,82.9,-0.1783130141738527,-0.1783130141738527,1.0,False
600667.SH,C,20260625,20260626,20260724,26.88,16.29,-0.3939732142857143,-0.39272141612260714,1.0020655822359927,True
603986.SH,B,20260625,20260626,20260724,770.0,457.0,-0.40649350649350646,-0.40649350649350646,1.0,False
603989.SH,C,20260625,20260626,20260724,56.0,26.24,-0.5314285714285715,-0.5295777690137426,1.0039498832023785,True
688041.SH,B,20260625,20260626,20260724,344.9,314.28,-0.08877935633516965,-0.08877935633516965,1.0,False
688047.SH,C,20260625,20260626,20260724,144.92,106.92,-0.2622136351090256,-0.2622136351090256,1.0,False
688123.SH,C,20260625,20260626,20260724,189.44,127.52,-0.3268581081081081,-0.3268581081081082,1.0,False
688380.SH,C,20260625,20260626,20260724,62.5,38.23,-0.38832,-0.38832,1.0,False
688525.SH,C,20260625,20260626,20260724,501.05,236.38,-0.5282307154974554,-0.5282307154974554,1.0,False
002364.SZ,B,20260626,20260629,20260724,53.8,36.36,-0.32416356877323416,-0.32416356877323416,1.0,False
300870.SZ,C,20260626,20260629,20260724,332.8,202.97,-0.3901141826923077,-0.3901141826923077,1.0,False
002050.SZ,C,20260630,20260701,20260724,44.21,35.05,-0.20719294277312839,-0.20186450325646677,1.0067209789167364,True
002158.SZ,B,20260630,20260701,20260724,36.42,24.86,-0.31740801757276227,-0.31740801757276227,1.0,False
002281.SZ,B,20260630,20260701,20260724,242.43,186.8,-0.2294683001278719,-0.2294683001278719,1.0,False
002371.SZ,B,20260630,20260701,20260724,935.36,757.0,-0.1906859391036606,-0.18995901781131408,1.0008981943196953,False
300260.SZ,B,20260630,20260701,20260724,103.88,56.18,-0.4591836734693877,-0.458838226561029,1.000638750887154,False
300395.SZ,C,20260630,20260701,20260724,126.17,77.8,-0.38337164143615765,-0.38337164143615765,1.0,False
300466.SZ,C,20260630,20260701,20260724,7.29,6.63,-0.09053497942386834,-0.09053497942386834,1.0,False
688122.SH,C,20260630,20260701,20260724,60.32,49.7,-0.17606100795755963,-0.1697559118646077,1.0076523822198562,True
688158.SH,C,20260630,20260701,20260724,36.81,29.27,-0.20483564248845432,-0.20483564248845432,1.0,False
688316.SH,C,20260630,20260701,20260724,55.3,43.8,-0.20795660036166363,-0.20795660036166363,1.0,False
688361.SH,B,20260630,20260701,20260724,422.0,357.42,-0.15303317535545025,-0.15303317535545025,1.0,False
688409.SH,B,20260630,20260701,20260724,295.34,187.0,-0.3668314485000338,-0.3668314485000338,1.0,False
688596.SH,B,20260630,20260701,20260724,83.66,48.38,-0.4217069089170451,-0.4217069089170451,1.0,False
688629.SH,C,20260630,20260701,20260724,180.55,153.52,-0.14970922182220991,-0.14970922182220991,1.0,False
000657.SZ,B,20260701,20260702,20260724,97.03,55.51,-0.4279088941564465,-0.4264343305187027,1.0025774979241628,True
002173.SZ,C,20260701,20260702,20260724,18.19,18.81,0.03408466190214399,0.03408466190214399,1.0,False
300604.SZ,B,20260701,20260702,20260724,301.46,303.5,0.006767066940887689,0.006767066940887689,1.0,False
301293.SZ,C,20260701,20260702,20260724,51.14,51.55,0.008017207665232728,0.008017207665232728,1.0,False
688343.SH,B,20260701,20260702,20260724,82.34,66.66,-0.19042992470245335,-0.19042992470245335,1.0,False
688626.SH,C,20260701,20260702,20260724,48.78,39.61,-0.1879868798687987,-0.1879868798687987,1.0,False
002929.SZ,C,20260702,20260703,20260724,68.99,49.9,-0.27670676909697056,-0.27587396169236134,1.0011514104778354,False
002979.SZ,C,20260702,20260703,20260724,69.55,58.28,-0.16204169662113588,-0.15864806245342766,1.0040498842890202,True
300442.SZ,B,20260702,20260703,20260724,85.44,64.8,-0.2415730337078652,-0.23933555443253518,1.002950157859324,True
300748.SZ,C,20260702,20260703,20260724,34.25,24.23,-0.2925547445255474,-0.2925547445255475,1.0,False
600547.SH,C,20260702,20260703,20260724,26.08,25.94,-0.005368098159509116,0.0019461865782592902,1.0073537604456824,True
600988.SH,B,20260702,20260703,20260724,31.23,36.49,0.1684277937880243,0.1684277937880243,1.0,False
603667.SH,C,20260702,20260703,20260724,76.15,49.16,-0.3544320420223245,-0.3544320420223245,1.0,False
000975.SZ,C,20260703,20260706,20260724,20.21,21.8,0.07867392380009885,0.07867392380009885,1.0,False
001337.SZ,C,20260703,20260706,20260724,39.08,37.05,-0.0519447287615149,-0.0519447287615149,1.0,False
002463.SZ,C,20260703,20260706,20260724,128.83,112.22,-0.1289295971435226,-0.1289295971435226,1.0,False
002747.SZ,C,20260703,20260706,20260724,46.03,30.04,-0.3473821420812514,-0.3473821420812514,1.0,False
300139.SZ,C,20260703,20260706,20260724,40.5,37.84,-0.06567901234567897,-0.0631626275891598,1.002693276496803,True
600580.SH,C,20260703,20260706,20260724,37.91,28.46,-0.2492745977314692,-0.2492745977314692,1.0,False
601069.SH,C,20260703,20260706,20260724,25.34,22.52,-0.11128650355169689,-0.11128650355169689,1.0,False
603286.SH,C,20260703,20260706,20260724,54.57,37.63,-0.31042697452812895,-0.31042697452812895,1.0,False
688017.SH,C,20260703,20260706,20260724,453.98,295.3,-0.3495308163355214,-0.34920884742831926,1.0004949794937068,False
000021.SZ,C,20260705,20260706,20260724,53.3,41.99,-0.21219512195121948,-0.21219512195121948,1.0,False
000034.SZ,B,20260705,20260706,20260724,28.88,26.67,-0.0765235457063711,-0.0765235457063711,1.0,False
000938.SZ,C,20260705,20260706,20260724,33.31,41.45,0.24437105974181916,0.24437105974181916,1.0,False
000977.SZ,B,20260705,20260706,20260724,69.71,85.31,0.22378424903170302,0.22378424903170302,1.0,False
001309.SZ,B,20260705,20260706,20260724,935.0,399.89,-0.5723101604278076,-0.5723101604278075,1.0,False
002579.SZ,C,20260705,20260706,20260724,17.91,12.17,-0.3204913456169738,-0.3204913456169738,1.0,False
300054.SZ,C,20260705,20260706,20260724,90.56,73.79,-0.1851810954063604,-0.1851810954063603,1.0,False
300394.SZ,C,20260705,20260706,20260724,237.0,203.41,-0.14172995780590714,-0.14172995780590714,1.0,False
300476.SZ,B,20260705,20260706,20260724,292.77,230.01,-0.2143662260477508,-0.2143662260477509,1.0,False
300499.SZ,C,20260705,20260706,20260724,40.3,27.01,-0.32977667493796514,-0.32977667493796514,1.0,False
