code,trade_date,fd_share
510300.SH,20210223,806628.77
510300.SH,20210222,798078.77
510300.SH,20210219,776298.77
510300.SH,20210218,764058.77
510300.SH,20210210,752268.77
510300.SH,20210209,745608.77
510300.SH,20210208,757938.77
510300.SH,20210205,761448.77
510300.SH,20210204,777558.77
510300.SH,20210203,764598.77
510300.SH,20210202,778008.77
510300.SH,20210201,819138.77
510300.SH,20210129,834798.77
510300.SH,20210128,818328.77
510300.SH,20210127,812118.77
510300.SH,20210126,802218.77
510300.SH,20210125,798888.77
510300.SH,20210122,824718.77
510300.SH,20210121,854238.77
510300.SH,20210120,866748.77
510300.SH,20210119,874578.77
510300.SH,20210118,880968.77
510300.SH,20210115,882498.77
510300.SH,20210114,884478.77
510300.SH,20210113,849468.77
510300.SH,20210112,850278.77
510300.SH,20210111,865308.77
510300.SH,20210108,884748.77
510300.SH,20210107,849288.77
510300.SH,20210106,837048.77
510300.SH,20210105,838578.77
510300.SH,20210104,864498.77
510300.SH,20201231,865758.769
510300.SH,20201230,845418.77
510300.SH,20201229,842988.77
510300.SH,20201228,841188.77
510300.SH,20201225,846408.77
510300.SH,20201224,826608.77
510300.SH,20201223,841548.77
510300.SH,20201222,844338.77
510300.SH,20201221,860178.77
510300.SH,20201218,850368.77
510300.SH,20201217,870798.77
510300.SH,20201216,874308.77
510300.SH,20201215,884748.77
510300.SH,20201214,892398.77
510300.SH,20201211,899418.77
510300.SH,20201210,899868.77
510300.SH,20201209,892578.77
510300.SH,20201208,866928.77
510300.SH,20201207,848658.77
510300.SH,20201204,861168.77
510300.SH,20201203,850548.77
510300.SH,20201202,846138.77
510300.SH,20201201,847578.77
510300.SH,20201130,833808.77
510300.SH,20201127,838848.77
510300.SH,20201126,848658.77
510300.SH,20201125,831738.77
510300.SH,20201124,828228.77
510300.SH,20201123,819228.77
510300.SH,20201120,814188.77
510300.SH,20201119,813648.77
510300.SH,20201118,809328.77
510300.SH,20201117,791598.77
510300.SH,20201116,791958.77
510300.SH,20201113,799608.77
510300.SH,20201112,813198.77
510300.SH,20201111,819678.77
510300.SH,20201110,801408.77
510300.SH,20201109,796728.77
510300.SH,20201106,767928.77
510300.SH,20201105,781428.77
510300.SH,20201104,782058.77
510300.SH,20201103,794568.77
510300.SH,20201102,801408.77
510300.SH,20201030,800688.77
510300.SH,20201029,803118.77
510300.SH,20201028,808608.77
510300.SH,20201027,826248.77
510300.SH,20201026,836778.77
510300.SH,20201023,834348.77
510300.SH,20201022,787278.77
510300.SH,20201021,786468.77
510300.SH,20201020,808338.77
510300.SH,20201019,803208.77
510300.SH,20201016,822468.77
510300.SH,20201015,819228.77
510300.SH,20201014,818148.77
510300.SH,20201013,806538.77
510300.SH,20201012,820578.77
510300.SH,20201009,823458.77
510300.SH,20200930,820308.769
510300.SH,20200929,845958.77
510300.SH,20200928,842898.77
510300.SH,20200925,839028.77
510300.SH,20200924,824808.77
510300.SH,20200923,827688.77
510300.SH,20200922,856668.77
510300.SH,20200921,857928.77
510300.SH,20200918,851628.77
510300.SH,20200917,792858.77
510300.SH,20200916,769638.77
510300.SH,20200915,774948.77
510300.SH,20200914,786738.77
510300.SH,20200911,792948.77
510300.SH,20200910,792318.77
510300.SH,20200909,809508.77
510300.SH,20200908,798348.77
510300.SH,20200907,772158.77
510300.SH,20200904,761808.77
510300.SH,20200903,742548.77
510300.SH,20200902,746958.77
510300.SH,20200901,768648.77
510300.SH,20200831,762618.77
510300.SH,20200828,762258.77
510300.SH,20200827,758298.77
510300.SH,20200826,759198.77
510300.SH,20200825,756948.77
510300.SH,20200824,760458.77
510300.SH,20200821,777918.77
510300.SH,20200820,776118.77
510300.SH,20200819,773418.77
510300.SH,20200818,792318.77
510300.SH,20200817,780618.77
510300.SH,20200814,757848.77
510300.SH,20200813,733458.77
510300.SH,20200812,741468.77
510300.SH,20200811,741648.77
510300.SH,20200810,747948.77
510300.SH,20200807,750918.77
510300.SH,20200806,761358.77
510300.SH,20200805,763878.77
510300.SH,20200804,778638.77
510300.SH,20200803,781158.77
510300.SH,20200731,799068.77
510300.SH,20200730,805908.77
510300.SH,20200729,810228.77
510300.SH,20200728,792588.77
510300.SH,20200727,809148.77
510300.SH,20200724,806808.77
510300.SH,20200723,826068.77
510300.SH,20200722,822558.77
510300.SH,20200721,805638.77
510300.SH,20200720,822198.77
510300.SH,20200717,858828.77
510300.SH,20200716,878628.77
510300.SH,20200715,915528.77
510300.SH,20200714,923268.77
510300.SH,20200713,947838.77
510300.SH,20200710,962418.77
510300.SH,20200709,947208.77
510300.SH,20200708,970698.77
510300.SH,20200707,958908.77
510300.SH,20200706,891228.77
510300.SH,20200703,839298.77
510300.SH,20200702,822108.77
510300.SH,20200701,801498.77
510300.SH,20200630,816978.769
510300.SH,20200629,845238.77
510300.SH,20200624,846138.77
510300.SH,20200623,868818.77
510300.SH,20200622,886728.77
510300.SH,20200619,900408.77
510300.SH,20200618,904638.77
510300.SH,20200617,906978.77
510300.SH,20200616,918318.77
510300.SH,20200615,912378.77
510300.SH,20200612,926868.77
510300.SH,20200611,924888.77
510300.SH,20200610,941268.77
510300.SH,20200609,961968.77
510300.SH,20200608,968898.77
510300.SH,20200605,982218.77
510300.SH,20200604,988968.77
510300.SH,20200603,1004358.77
510300.SH,20200602,1020198.77
510300.SH,20200601,1020918.77
510300.SH,20200529,1015878.77
510300.SH,20200528,1023708.77
510300.SH,20200527,1016328.77
510300.SH,20200526,1017408.77
510300.SH,20200525,1049718.77
510300.SH,20200522,1044318.77
510300.SH,20200521,1044138.77
510300.SH,20200520,1045488.77
510300.SH,20200519,1044498.77
510300.SH,20200518,1053228.77
510300.SH,20200515,1049628.77
510300.SH,20200514,1023888.77
510300.SH,20200513,1015698.77
510300.SH,20200512,1030728.77
510300.SH,20200511,1069968.77
510300.SH,20200508,1066548.77
510300.SH,20200507,1061778.77
510300.SH,20200506,1075188.77
510300.SH,20200430,1080948.77
510300.SH,20200429,1048188.77
510300.SH,20200428,1052868.77
510300.SH,20200427,1067718.77
510300.SH,20200424,1066908.77
510300.SH,20200423,1061058.77
510300.SH,20200422,1057818.77
510300.SH,20200421,1064748.77
510300.SH,20200420,1066818.77
510300.SH,20200417,1092018.77
510300.SH,20200416,1099938.77
510300.SH,20200415,1098048.77
510300.SH,20200414,1095708.77
510300.SH,20200413,1103628.77
510300.SH,20200410,1097508.77
510300.SH,20200409,1094448.77
510300.SH,20200408,1106328.77
510300.SH,20200407,1108488.77
510300.SH,20200403,1104798.77
510300.SH,20200402,1117848.77
510300.SH,20200401,1107318.77
510300.SH,20200331,1110918.769
510300.SH,20200330,1107138.77
510300.SH,20200327,1080678.77
510300.SH,20200326,1073388.77
510300.SH,20200325,1086258.77
510300.SH,20200324,1143138.77
510300.SH,20200323,1117128.77
510300.SH,20200320,1079418.77
510300.SH,20200319,1070058.77
510300.SH,20200318,984648.77
510300.SH,20200317,1007958.77
510300.SH,20200316,944868.77
510300.SH,20200313,941538.77
510300.SH,20200312,907518.77
510300.SH,20200311,902928.77
510300.SH,20200310,947838.77
510300.SH,20200309,896898.77
510300.SH,20200306,905538.77
510300.SH,20200305,903738.77
510300.SH,20200304,908418.77
510300.SH,20200303,914358.77
510300.SH,20200302,913368.77
510300.SH,20200228,914988.77
510300.SH,20200227,917238.77
510300.SH,20200226,928128.77
510300.SH,20200225,954498.77
510300.SH,20200224,964758.77
510300.SH,20200221,971868.77
510300.SH,20200220,975918.77
510300.SH,20200219,998328.77
510300.SH,20200218,1014708.77
510300.SH,20200217,1045578.77
510300.SH,20200214,1038648.77
510300.SH,20200213,1033518.77
510300.SH,20200212,1040808.77
510300.SH,20200211,1042608.77
510300.SH,20200210,1058178.77
510300.SH,20200207,1077168.77
510300.SH,20200206,1070688.77
510300.SH,20200205,1060068.77
510300.SH,20200204,1073298.77
510300.SH,20200203,1055298.77
510300.SH,20200123,999498.77
510300.SH,20200122,1022178.77
510300.SH,20200121,1053588.77
510300.SH,20200120,1062138.77
510300.SH,20200117,1061958.77
510300.SH,20200116,1062228.77
510300.SH,20200115,1062318.77
510300.SH,20200114,1063218.77
510300.SH,20200113,1048278.77
510300.SH,20200110,1046945.94
510300.SH,20200109,1046298.77
510300.SH,20200108,1045848.77
510300.SH,20200107,1044138.26
510300.SH,20200106,1036398.77
510300.SH,20200103,1014798.68
510300.SH,20200102,1004178.77
510300.SH,20191231,985008.769
510300.SH,20191230,979847.07
510300.SH,20191227,963678.77
510300.SH,20191226,955128.77
510300.SH,20191225,950448.77
510300.SH,20191224,945948.7
510300.SH,20191223,933798.77
510300.SH,20191220,922818.77
510300.SH,20191219,913458.77
510300.SH,20191218,913359.17
510300.SH,20191217,901758.77
510300.SH,20191216,885918.77
510300.SH,20191213,885466.98
510300.SH,20191212,874038.77
510300.SH,20191211,874038.77
510300.SH,20191210,875208.77
510300.SH,20191209,874128.77
510300.SH,20191206,865578.77
510300.SH,20191205,865038.77
510300.SH,20191204,863958.77
510300.SH,20191203,866388.77
510300.SH,20191202,864588.77
510300.SH,20191129,866748.77
510300.SH,20191128,853698.77
510300.SH,20191127,852168.77
510300.SH,20191126,851448.77
510300.SH,20191125,862698.77
510300.SH,20191122,862878.77
510300.SH,20191121,861978.77
510300.SH,20191120,853608.77
510300.SH,20191119,854578.59
510300.SH,20191118,852747.88
510300.SH,20191115,847758.77
510300.SH,20191114,847308.77
510300.SH,20191113,857208.77
510300.SH,20191112,857658.77
510300.SH,20191111,852798.77
510300.SH,20191108,842988.77
510300.SH,20191107,847443.19
510300.SH,20191106,841008.77
510300.SH,20191105,840847.22
510300.SH,20191104,833346.41
510300.SH,20191101,832998.77
510300.SH,20191031,828768.77
510300.SH,20191030,832548.77
510300.SH,20191029,837138.77
510300.SH,20191028,840288.77
510300.SH,20191025,840918.77
510300.SH,20191024,835248.77
510300.SH,20191023,835698.77
510300.SH,20191022,836688.77
510300.SH,20191021,839208.77
510300.SH,20191018,843708.77
510300.SH,20191017,850368.77
510300.SH,20191016,850008.77
510300.SH,20191015,857388.77
510300.SH,20191014,858198.77
510300.SH,20191011,856382.42
510300.SH,20191010,859188.77
510300.SH,20191009,866028.77
510300.SH,20191008,873138.77
510300.SH,20190930,889518.769
510300.SH,20190927,895730.95
510300.SH,20190926,891583.93
510300.SH,20190925,883758.77
510300.SH,20190924,880068.77
510300.SH,20190923,880461.93
510300.SH,20190920,879978.77
510300.SH,20190919,890418.77
510300.SH,20190918,895278.77
510300.SH,20190917,897239.42
510300.SH,20190916,891228.77
510300.SH,20190912,892893.77
510300.SH,20190911,892078.77
510300.SH,20190910,880158.77
510300.SH,20190909,880338.77
510300.SH,20190906,880170.35
510300.SH,20190905,870258.77
510300.SH,20190904,854598.77
510300.SH,20190903,857478.77
510300.SH,20190902,863868.77
510300.SH,20190830,864858.77
510300.SH,20190829,872238.77
510300.SH,20190828,881508.77
510300.SH,20190827,882048.77
510300.SH,20190826,881148.77
510300.SH,20190823,878628.77
510300.SH,20190822,889068.77
510300.SH,20190821,903468.77
510300.SH,20190820,903828.77
510300.SH,20190819,902928.77
510300.SH,20190816,897078.77
510300.SH,20190815,904278.77
510300.SH,20190814,898968.77
510300.SH,20190813,900858.77
510300.SH,20190812,900948.77
510300.SH,20190809,903872.25
510300.SH,20190808,897888.77
510300.SH,20190807,914268.77
510300.SH,20190806,925158.77
510300.SH,20190805,901915.96
510300.SH,20190802,901128.77
510300.SH,20190801,912608.77
510300.SH,20190731,911838.77
510300.SH,20190730,911388.77
510300.SH,20190729,911658.77
510300.SH,20190726,923538.77
510300.SH,20190725,931908.77
510300.SH,20190724,930918.77
510300.SH,20190723,928398.77
510300.SH,20190722,926868.77
510300.SH,20190719,931997.88
510300.SH,20190718,927588.77
510300.SH,20190717,932088.77
510300.SH,20190716,939648.77
510300.SH,20190715,939606.29
510300.SH,20190712,929118.77
510300.SH,20190711,926688.77
