d0,d1,cal_days,n,n_affected,top_raw,bot_raw,spread_raw,top_qfq,bot_qfq,spread_qfq
20250102,20250205,34,3764,112,0.027237415375721722,-0.01613388126811788,0.0433712966438396,0.02808422639480459,-0.0158996213654116,0.04398384776021619
20250205,20250303,26,3766,11,0.057564369567012774,0.09055163554152469,-0.03298726597451192,0.05757619930495928,0.09059987046954456,-0.03302367116458527
20250303,20250401,29,3769,22,0.020202949561861968,-0.03896582431513016,0.059168773876992126,0.02080049380431247,-0.03833764387757075,0.059138137681883224
20250401,20250506,35,3762,96,-0.027311093975943272,-0.003393557437733786,-0.023917536538209487,-0.02688828611521918,-0.001479769271361737,-0.02540851684385744
20250506,20250603,28,3731,669,0.0269340934070621,-0.019360838019492194,0.04629493142655429,0.03529868616875173,-0.008750169537718674,0.04404885570647041
20250603,20250701,28,3737,1129,0.0563158990992486,0.030815129951893665,0.025500769147354933,0.06785716789291242,0.04117367940521106,0.026683488487701364
20250701,20250801,31,3754,565,0.05637703497830883,0.020422866246110994,0.03595416873219784,0.05910632802982066,0.024314875758656613,0.03479145227116405
20250801,20250901,31,3753,138,0.07561191813158236,0.13634059278705118,-0.06072867465546883,0.07672140993381932,0.13673088733655378,-0.06000947740273446
20250901,20251009,38,3745,287,0.006601578858038978,0.0025381659651797462,0.004063412892859232,0.007909196315475148,0.0031144154594289503,0.004794780856046198
20251009,20251103,25,3748,225,0.006004397869286597,-0.012924162361655982,0.01892856023094258,0.006883241562487049,-0.01244558406814235,0.0193288256306294
20251103,20251201,28,3747,119,-0.009351757606618659,-0.013240778969358475,0.003889021362739817,-0.009157493008419093,-0.01270844249200222,0.003550949483583128
20251201,20260105,35,3761,100,0.0333770143519918,0.05702773325996267,-0.023650718907970866,0.033596676242481985,0.05708843311756111,-0.023491756875079123
20260105,20260202,28,3763,75,0.03224687600733529,0.030407185542110946,0.0018396904652243466,0.03257762165859025,0.03049764388624165,0.002079977772348602
20260202,20260302,28,3758,45,0.041310145764928176,0.0657119933453176,-0.02440184758038943,0.0413700685746969,0.0657405972573629,-0.02437052868266601
20260302,20260401,30,3757,10,-0.062188907854496864,-0.08810014374931406,0.025911235894817197,-0.06216639199912649,-0.08809743689714174,0.025931044898015246
20260401,20260506,35,3772,104,0.030946559837484573,0.12707443247766684,-0.09612787264018227,0.03234573037140781,0.1287337973367974,-0.0963880669653896
20260506,20260601,26,3708,684,-0.04188638405476431,-0.03919911276101095,-0.00268727129375336,-0.03173373996441159,-0.028912081409612527,-0.002821658554799062
20260601,20260701,30,3712,1131,-0.06145831525994509,0.05090839139887563,-0.11236670665882073,-0.050166631188339195,0.06442746445153177,-0.11459409563987097
