trade_date,close
20040102,1011.347
20040105,1060.801
20040106,1075.656
20040107,1086.303
20040108,1102.662
20040109,1081.785
20040112,1116.799
20040113,1102.341
20040114,1079.72
20040115,1073.977
20040116,1083.652
20040129,1100.604
20040130,1067.553
20040202,1091.729
20040203,1102.954
20040204,1128.443
20040205,1127.897
20040206,1122.084
20040209,1134.611
20040210,1120.961
20040211,1110.061
20040212,1094.112
20040213,1096.362
20040216,1123.748
20040217,1123.618
20040218,1129.275
20040219,1122.38
20040220,1124.661
20040223,1093.137
20040224,1093.102
20040225,1070.362
20040226,1079.897
20040227,1088.725
20040301,1094.242
20040302,1093.391
20040303,1072.639
20040304,1078.348
20040305,1071.581
20040308,1057.102
20040309,1061.159
20040310,1091.097
20040311,1095.564
20040312,1099.081
20040315,1131.675
20040316,1135.571
20040317,1135.167
20040318,1111.849
20040319,1129.775
20040322,1134.787
20040323,1121.332
20040324,1115.512
20040325,1115.239
20040326,1112.782
20040329,1101.659
20040330,1101.271
20040331,1108.54
20040401,1123.435
20040402,1127.805
20040405,1118.273
20040406,1123.856
20040407,1117.44
20040408,1112.839
20040409,1088.157
20040412,1080.08
20040413,1072.726
20040414,1065.682
20040415,1055.889
20040416,1071.228
20040419,1054.738
20040420,1052.244
20040421,1043.533
20040422,1050.757
20040423,1034.409
20040426,1038.999
20040427,1031.217
20040428,1029.806
20040429,1016.513
20040430,1025.954
20040510,996.164
20040511,1003.898
20040512,1025.02
20040513,1020.998
20040514,997.947
20040517,981.737
20040518,989.207
20040519,988.922
20040520,985.931
20040521,994.45
20040524,991.847
20040525,978.595
20040526,984.998
20040527,1003.286
20040528,995.637
20040531,1001.194
20040601,1014.174
20040602,1001.687
20040603,986.446
20040604,986.225
20040607,973.22
20040608,954.77
20040609,941.304
20040610,944.254
20040611,942.862
20040614,924.594
20040615,942.679
20040616,947.163
20040617,926.036
20040618,910.187
20040621,909.046
20040622,918.798
20040623,912.853
20040624,906.417
20040625,891.79
20040628,883.755
20040629,901.048
20040630,897.707
20040701,925.001
20040702,926.617
20040705,928.666
20040706,931.883
20040707,923.864
20040708,927.035
20040709,923.202
20040712,904.553
20040713,906.966
20040714,912.191
20040715,925.678
20040716,946.178
20040719,947.424
20040720,939.225
20040721,940.508
20040722,913.138
20040723,915.043
20040726,903.751
20040727,903.321
20040728,906.054
20040729,918.792
20040730,906.265
20040802,900.018
20040803,893.301
20040804,923.019
20040805,909.077
20040806,911.555
20040809,920.755
20040810,926.537
20040811,914.606
20040812,907.827
20040813,907.001
20040816,904.008
20040817,910.86
20040818,911.846
20040819,903.316
20040820,904.827
20040823,889.658
20040824,897.767
20040825,894.368
20040826,892.098
20040827,883.704
20040830,882.046
20040831,895.783
20040901,880.542
20040902,881.567
20040903,879.417
20040906,874.691
20040907,877.773
20040908,864.59
20040909,848.455
20040910,851.969
20040913,834.104
20040914,860.097
20040915,892.769
20040916,903.403
20040917,932.315
20040920,965.109
20040921,955.001
20040922,933.101
20040923,967.323
20040924,951.091
20040927,946.137
20040928,947.773
20040929,936.462
20040930,924.355
20041008,936.008
20041011,923.217
20041012,902.718
20041013,901.97
20041014,876.818
20041015,879.718
20041018,882.663
20041019,884.929
20041020,879.385
20041021,864.307
20041022,878.74
20041025,865.653
20041026,875.855
20041027,884.85
20041028,882.912
20041029,870.79
20041101,862.827
20041102,862.246
20041103,877.53
20041104,860.814
20041105,862.261
20041108,864.34
20041109,864.565
20041110,897.765
20041111,894.112
20041112,898.166
20041115,906.985
20041116,906.734
20041117,896.105
20041118,900.816
20041119,906.991
20041122,905.841
20041123,893.285
20041124,889.118
20041125,890.777
20041126,889.083
20041129,879.258
20041130,879.308
20041201,875.397
20041202,871.125
20041203,871.558
20041206,874.998
20041207,868.292
20041208,868.904
20041209,878.716
20041210,868.427
20041213,865.762
20041214,862.056
20041215,867.604
20041216,866.998
20041217,857.251
20041220,845.678
20041221,845.382
20041222,865.077
20041223,850.7
20041224,851.775
20041227,848.194
20041228,848.63
20041229,843.781
20041230,843.529
20041231,842.728
20050104,827.071
20050105,831.428
20050106,822.499
20050107,823.616
20050110,832.986
20050111,837.861
20050112,837.244
20050113,834.221
20050114,829.042
20050117,811.554
20050118,817.309
20050119,810.989
20050120,805.081
20050121,831.847
20050124,842.414
20050125,841.64
20050126,834.669
20050127,821.705
20050128,820.689
20050131,813.753
20050201,817.872
20050202,860.504
20050203,848.486
20050204,872.884
20050216,875.46
20050217,870.085
20050218,856.212
20050221,874.021
20050222,887.07
20050223,877.914
20050224,877.345
20050225,878.503
20050228,868.886
20050301,866.258
20050302,855.879
20050303,861.688
20050304,859.489
20050307,863.704
20050308,876.344
20050309,869.403
20050310,851.531
20050311,853.898
20050314,857.614
20050315,840.955
20050316,832.823
20050317,826.683
20050318,821.028
20050321,823.129
20050322,808.104
20050323,801.981
20050324,808.18
20050325,806.425
20050328,805.556
20050329,802.739
20050330,790.58
20050331,795.667
20050401,822.91
20050404,808.591
20050405,801.885
20050406,816.879
20050407,824.609
20050408,838.056
20050411,830.908
20050412,818.467
20050413,835.628
20050414,826.005
20050415,817.094
20050418,806.389
20050419,809.361
20050420,798.517
20050421,793.445
20050422,794.819
20050425,790.749
20050426,792.303
20050427,782.432
20050428,793.878
20050429,789.732
20050509,775.321
20050510,779.099
20050511,771.586
20050512,753.875
20050513,757.304
20050516,747.871
20050517,750.711
20050518,752.662
20050519,754.785
20050520,753.071
20050523,737.741
20050524,737.35
20050525,737.538
20050526,728.697
20050527,724.522
20050530,729.067
20050531,730.997
20050601,719.025
20050602,701.373
20050603,700.434
20050606,717.213
20050607,713.62
20050608,772.134
20050609,778.577
20050610,766.663
20050613,759.917
20050614,754.548
20050615,745.216
20050616,757.392
20050617,762.178
20050620,780.291
20050621,770.295
20050622,774.15
20050623,768.331
20050624,772.319
20050627,782.382
20050628,775.634
20050629,772.02
20050630,758.717
20050701,748.046
20050704,747.086
20050705,741.205
20050706,734.768
20050707,735.554
20050708,727.556
20050711,726.905
20050712,753.06
20050713,748.55
20050714,753.639
20050715,748.519
20050718,746.921
20050719,747.485
20050720,753.546
20050721,756.981
20050722,768.724
20050725,764.647
20050726,780.753
20050727,792.489
20050728,789.853
20050729,788.632
20050801,789.996
20050802,797.348
20050803,797.744
20050804,795.145
20050805,812.329
20050808,812.722
20050809,814.611
20050810,822.164
20050811,832.238
20050812,822.329
20050815,839.512
20050816,828.229
20050817,833.838
20050818,814.291
20050819,817.685
20050822,823.083
20050823,818.053
20050824,825.453
20050825,823.576
20050826,822.197
20050829,811.312
20050830,809.063
20050831,816.755
20050901,827.9
20050902,829.463
20050905,829.341
20050906,815.753
20050907,825.118
20050908,827.116
20050909,823.639
20050912,821.978
20050913,829.92
20050914,834.013
20050915,833.509
20050916,830.621
20050919,831.569
20050920,827.266
20050921,811.135
20050922,796.939
20050923,793.163
20050926,793.73
20050927,782.235
20050928,782.998
20050929,792.251
20050930,793.652
20051010,787.748
20051011,796.071
20051012,795.324
20051013,788.361
20051014,777.492
20051017,769.321
20051018,771.448
20051019,769.682
20051020,773.676
20051021,774.058
20051024,771.154
20051025,765.029
20051026,749.125
20051027,751.261
20051028,749.964
20051031,759.239
20051101,757.053
20051102,762.938
20051103,755.777
20051104,758.924
20051107,754.201
20051108,758.322
20051109,756.171
20051110,746.352
20051111,746.45
20051114,743.345
20051115,739.234
20051116,744.138
20051117,743.799
20051118,760.566
20051121,758.555
20051122,747.307
20051123,754.156
20051124,761.662
20051125,766.678
20051128,762.905
20051129,755.293
20051130,759.633
20051201,758.936
20051202,757.021
20051205,751.353
20051206,760.202
20051207,767.543
20051208,765.555
20051209,777.031
20051212,774.709
20051213,773.589
20051214,778.494
20051215,778.233
20051216,782.04
20051219,781.804
20051220,787.234
20051221,783.984
20051222,787.388
20051223,791.441
20051226,795.559
20051227,792.155
20051228,793.54
20051229,801.899
20051230,796.396
20060104,812.597
20060105,827.836
20060106,836.895
20060109,838.292
20060110,838.563
20060111,832.276
20060112,836.579
20060113,831.136
20060116,814.891
20060117,818.355
20060118,835.15
20060119,840.591
20060120,840.376
20060123,840.128
20060124,838.46
20060125,846.989
20060206,861.07
20060207,856.669
20060208,862.575
20060209,850.802
20060210,859.97
20060213,859.598
20060214,862.648
20060215,868.021
20060216,856.05
20060217,857.994
20060220,857.973
20060221,872.565
20060222,870.097
20060223,877.654
20060224,882.777
20060227,887.616
20060228,892.904
20060301,895.626
20060302,876.621
20060303,880.371
20060306,879.33
20060307,861.865
20060308,859.32
20060309,853.381
20060310,857.143
20060313,863.677
20060314,860.874
20060315,868.324
20060316,865.722
20060317,863.267
20060320,875.126
20060321,875.232
20060322,875.823
20060323,875.108
20060324,869.439
20060327,872.557
20060328,874.773
20060329,885.291
20060330,877.781
20060331,878.366
20060403,891.556
20060404,900.84
20060405,906.301
20060406,901.647
20060407,897.312
20060410,909.281
20060411,912.391
20060412,908.948
20060413,892.133
20060414,910.633
20060417,921.21
20060418,927.478
20060419,930.833
20060420,922.05
20060421,939.873
20060424,940.902
20060425,931.323
20060426,948.207
20060427,943.343
20060428,964.446
20060508,996.235
20060509,1017.619
20060510,1022.999
20060511,1012.9
20060512,1050.958
20060515,1086.001
20060516,1079.705
20060517,1080.965
20060518,1068.202
20060519,1096.206
20060522,1095.568
20060523,1058.991
20060524,1055.809
20060525,1050.696
20060526,1064.128
20060529,1090.571
20060530,1092.251
20060531,1078.863
20060601,1106.233
20060602,1097.509
20060605,1102.904
20060606,1100.56
20060607,1046.422
20060608,1057.083
20060609,1031.458
20060612,1034.681
20060613,1032.618
20060614,1022.12
20060615,1021.992
20060616,1047.332
20060619,1056.636
20060620,1060.542
20060621,1056.501
20060622,1057.231
20060623,1061.412
20060626,1083.046
20060627,1081.131
20060628,1080.608
20060629,1105.048
20060630,1102.696
20060703,1125.358
20060704,1115.169
20060705,1092.818
20060706,1109.827
20060707,1099.06
20060710,1098.813
20060711,1101.82
20060712,1100.592
20060713,1051.979
20060714,1059.255
20060717,1067.531
20060718,1064.746
20060719,1040.586
20060720,1046.987
20060721,1056.627
20060724,1058.071
20060725,1068.106
20060726,1069.444
20060727,1060.585
20060728,1050.639
20060731,1020.541
20060801,1011.146
20060802,1007.596
20060803,1008.183
20060804,990.834
20060807,978.085
20060808,994.537
20060809,993.658
20060810,1011.644
20060811,1011.639
20060814,992.453
20060815,1007.798
20060816,1018.894
20060817,1009.311
20060818,1008.047
20060821,1008.31
20060822,1018.508
20060823,1021.873
20060824,1028.243
20060825,1028.287
20060828,1048.853
20060829,1049.64
20060830,1048.776
20060831,1048.577
20060901,1033.739
20060904,1046.141
20060905,1052.166
20060906,1056.264
20060907,1045.154
20060908,1050.8
20060911,1057.853
20060912,1066.823
20060913,1069.011
20060914,1070.108
20060915,1094.149
20060918,1096.466
20060919,1101.956
20060920,1098.929
20060921,1106.873
20060922,1094.179
20060925,1091.717
20060926,1077.302
20060927,1088.749
20060928,1101.972
20060929,1115.718
20061009,1151.433
20061010,1152.238
20061011,1152.414
20061012,1147.229
20061013,1149.579
20061016,1135.483
20061017,1125.442
20061018,1146.926
20061019,1148.405
20061020,1152.313
20061023,1132.686
20061024,1159.133
20061025,1166.248
20061026,1178.077
20061027,1164.574
20061030,1175.796
20061031,1193.843
20061101,1211.553
20061102,1208.272
20061103,1219.003
20061106,1245.694
20061107,1258.646
20061108,1241.444
20061109,1268.332
20061110,1262.529
20061113,1245.828
20061114,1262.158
20061115,1293.253
20061116,1299.116
20061117,1321.011
20061120,1362.451
20061121,1376.632
20061122,1382.235
20061123,1395.678
20061124,1385.939
20061127,1381.325
20061128,1367.515
20061129,1382.717
20061130,1425.211
20061201,1430.363
20061204,1486.531
20061205,1500.475
20061206,1498.312
20061207,1507.857
20061208,1453.918
20061211,1524.965
20061212,1544.908
20061213,1544.158
20061214,1573.478
20061215,1597.116
20061218,1637.142
20061219,1643.141
20061220,1643.971
20061221,1620.241
20061222,1614.238
20061225,1665.159
20061226,1673.88
20061227,1726.433
20061228,1737.161
20061229,1805.314
20070104,1836.136
20070105,1815.12
20070108,1856.616
20070109,1932.277
20070110,1963.633
20070111,1927.219
20070112,1876.143
20070115,1963.163
20070116,1992.096
20070117,1955.742
20070118,1936.921
20070119,1995.532
20070122,2075.537
20070123,2105.99
20070124,2145.694
20070125,2098.181
20070126,2164.514
20070129,2222.414
20070130,2197.193
20070131,2052.905
20070201,2051.662
20070202,1954.966
20070205,1906.03
20070206,1954.155
20070207,2001.373
20070208,2023.178
20070209,2003.324
20070212,2082.402
20070213,2108.626
20070214,2174.002
20070215,2235.447
