trade_date,close
20050104,982.794
20050105,992.564
20050106,983.174
20050107,983.958
20050110,993.879
20050111,997.135
20050112,996.748
20050113,996.877
20050114,988.306
20050117,967.452
20050118,974.689
20050119,967.21
20050120,956.245
20050121,982.604
20050124,998.133
20050125,997.775
20050126,989.928
20050127,974.631
20050128,969.209
20050131,954.879
20050201,955.951
20050202,1006.913
20050203,993.215
20050204,1016.858
20050216,1023.584
20050217,1020.606
20050218,1006.055
20050221,1025.633
20050222,1046.744
20050223,1043.944
20050224,1045.46
20050225,1046.761
20050228,1039.989
20050301,1035.934
20050302,1021.32
20050303,1027.71
20050304,1023.667
20050307,1029.871
20050308,1048.987
20050309,1046.544
20050310,1022.413
20050311,1027.429
20050314,1031.026
20050315,1013.523
20050316,1003.065
20050317,992.863
20050318,978.665
20050321,981.893
20050322,964.024
20050323,959.01
20050324,964.801
20050325,962.955
20050328,960.696
20050329,955.19
20050330,937.034
20050331,942.203
20050401,978.145
20050404,962.168
20050405,955.598
20050406,973.668
20050407,984.733
20050408,1003.445
20050411,995.421
20050412,978.697
20050413,1000.9
20050414,986.975
20050415,974.082
20050418,963.772
20050419,965.886
20050420,950.867
20050421,943.981
20050422,939.101
20050425,930.07
20050426,937.083
20050427,926.604
20050428,942.073
20050429,932.395
20050509,909.174
20050510,913.076
20050511,901.851
20050512,885.82
20050513,887.543
20050516,875.271
20050517,881.462
20050518,883.196
20050519,884.171
20050520,882.763
20050523,863.341
20050524,868.456
20050525,868.451
20050526,857.331
20050527,849.508
20050530,855.612
20050531,855.946
20050601,837.532
20050602,818.379
20050603,818.033
20050606,838.997
20050607,837.282
20050608,905.773
20050609,912.604
20050610,894.556
20050613,892.959
20050614,883.537
20050615,866.834
20050616,879.237
20050617,880.345
20050620,906.255
20050621,896.166
20050622,900.646
20050623,893.572
20050624,898.301
20050627,916.043
20050628,903.716
20050629,898.898
20050630,878.686
20050701,859.494
20050704,855.932
20050705,849.679
20050706,842.556
20050707,844.729
20050708,829.489
20050711,824.097
20050712,851.816
20050713,846.231
20050714,849.59
20050715,841.001
20050718,832.995
20050719,835.608
20050720,842.641
20050721,843.987
20050722,859.693
20050725,856.86
20050726,876.48
20050727,894.012
20050728,890.885
20050729,888.164
20050801,891.607
20050802,903.598
20050803,909.57
20050804,904.15
20050805,923.803
20050808,927.471
20050809,933.089
20050810,940.37
20050811,953.992
20050812,938.316
20050815,954.502
20050816,945.058
20050817,953.012
20050818,920.671
20050819,923.038
20050822,931.673
20050823,923.414
20050824,930.651
20050825,930.118
20050826,928.258
20050829,917.371
20050830,914.88
20050831,927.916
20050901,944.559
20050902,947.871
20050905,952.717
20050906,936.61
20050907,952.758
20050908,955.282
20050909,949.065
20050912,949.506
20050913,963.774
20050914,970.193
20050915,969.598
20050916,967.495
20050919,971.136
20050920,961.919
20050921,944.408
20050922,923.274
20050923,916.154
20050926,918.485
20050927,904.214
20050928,903.719
20050929,915.975
20050930,917.392
20051010,907.321
20051011,919.72
20051012,923.485
20051013,916.499
20051014,904.828
20051017,897.623
20051018,902.366
20051019,898.744
20051020,899.915
20051021,904.414
20051024,906.652
20051025,894.272
20051026,875.82
20051027,875.849
20051028,867.729
20051031,876.282
20051101,872.865
20051102,882.478
20051103,874.575
20051104,878.361
20051107,877.278
20051108,881.524
20051109,879.252
20051110,862.968
20051111,864.79
20051114,862.149
20051115,856.635
20051116,863.119
20051117,862.658
20051118,882.241
20051121,883.871
20051122,869.617
20051123,876.229
20051124,881.493
20051125,884.105
20051128,880.167
20051129,871.31
20051130,873.825
20051201,873.067
20051202,869.936
20051205,859.61
20051206,866.075
20051207,873.838
20051208,874.056
20051209,887.358
20051212,888.518
20051213,889.101
20051214,898.153
20051215,896.434
20051216,902.561
20051219,902.91
20051220,907.318
20051221,903.144
20051222,908.754
20051223,915.89
20051226,922.378
20051227,919.36
20051228,920.919
20051229,932.031
20051230,923.451
20060104,941.428
20060105,959.134
20060106,970.032
20060109,975.253
20060110,978.154
20060111,973.477
20060112,983.716
20060113,978.809
20060116,961.439
20060117,964.29
20060118,983.622
20060119,991.222
20060120,993.34
20060123,996.162
20060124,999.093
20060125,1009.597
20060206,1033.234
20060207,1029.937
20060208,1033.072
20060209,1019.599
20060210,1032.337
20060213,1031.614
20060214,1038.531
20060215,1041.66
20060216,1020.121
20060217,1020.368
20060220,1021.639
20060221,1038.816
20060222,1037.885
20060223,1041.373
20060224,1049.444
20060227,1047.845
20060228,1053.01
20060301,1056.619
20060302,1038.666
20060303,1041.677
20060306,1038.873
20060307,1014.973
20060308,1009.271
20060309,1004.344
20060310,1008.897
20060313,1019.864
20060314,1018.272
20060315,1028.958
20060316,1027.616
20060317,1024.015
20060320,1037.659
20060321,1040.757
20060322,1047.666
20060323,1048.537
20060324,1042.601
20060327,1050.707
20060328,1055.982
20060329,1065.294
20060330,1055.634
20060331,1061.088
20060403,1079.322
20060404,1089.371
20060405,1099.97
20060406,1103.237
20060407,1103.154
20060410,1117.91
20060411,1123.308
20060412,1117.073
20060413,1093.925
20060414,1118.607
20060417,1124.414
20060418,1131.281
20060419,1138.241
20060420,1134.381
20060421,1149.158
20060424,1142.698
20060425,1141.93
20060426,1155.726
20060427,1155.268
20060428,1172.347
